IP Address,TimeStamp,Transfer(s1),s2,s3,s4,s5,Priority,Membership
150.292.12.19,01-01-2023 0.05,3.643,0.801,2.842,1.261,2.382,4,Basic Membership
176.324.14.2,01-01-2023 0.10,3.187,1.944,1.243,0.951,2.236,2,Premium Membership
150.325.11.17,01-01-2023 0.15,4.762,3.191,1.571,2.774,1.988,2,Premium Membership
190.230.7.6,01-01-2023 0.20,4.517,3.072,1.445,2.53,1.987,0,Basic Membership
186.210.3.17,01-01-2023 0.25,4.642,2.507,2.135,1.189,3.453,2,Basic Membership
180.303.2.1,01-01-2023 0.30,3.612,1.264,2.348,1.335,2.277,2,Basic Membership
161.258.7.1,01-01-2023 0.35,4.355,1.524,2.831,2.215,2.14,4,Premium Membership
150.264.20.14,01-01-2023 0.40,3.055,1.344,1.711,1.683,1.372,0,Basic Membership
151.258.4.14,01-01-2023 0.45,4.349,1.827,2.522,1.625,2.724,2,Premium Membership
162.290.2.9,01-01-2023 0.50,4.176,1.169,3.007,2.294,1.882,1,Basic Membership
164.208.6.13,01-01-2023 0.55,4.789,1.916,2.873,2.308,2.481,0,Basic Membership
173.331.12.6,01-01-2023 1.00,4.746,3.37,1.376,2.305,2.441,3,Basic Membership
159.289.4.17,01-01-2023 1.05,3.365,1.211,2.154,1.347,2.018,1,Basic Membership
158.291.0.8,01-01-2023 1.10,4.748,1.045,3.703,2.799,1.949,2,Basic Membership
154.224.14.2,01-01-2023 1.15,4.568,2.101,2.467,2.166,2.402,0,Basic Membership
163.200.9.16,01-01-2023 1.20,4.579,1.648,2.931,2.524,2.055,2,Basic Membership
156.272.16.8,01-01-2023 1.25,4.049,2.591,1.458,1.487,2.562,1,Premium Membership
158.290.5.10,01-01-2023 1.30,4.312,0.906,3.406,3.055,1.257,3,Basic Membership
187.320.6.16,01-01-2023 1.35,3.686,1.696,1.99,1.624,2.062,4,Basic Membership
186.273.18.3,01-01-2023 1.40,3.075,1.261,1.814,0.878,2.197,1,Basic Membership
164.216.19.15,01-01-2023 1.45,3.971,1.469,2.502,2.588,1.383,4,Premium Membership
181.317.10.8,01-01-2023 1.50,4.31,1.681,2.629,2.39,1.92,3,Basic Membership
154.239.15.4,01-01-2023 1.55,3.339,0.735,2.604,1.985,1.354,2,Premium Membership
159.231.0.2,01-01-2023 2.00,4.982,2.092,2.89,3.12,1.862,3,Basic Membership
188.260.13.11,01-01-2023 2.05,4.185,2.846,1.339,2.056,2.129,0,Basic Membership
168.237.17.6,01-01-2023 2.10,4.101,2.543,1.558,2.261,1.84,4,Basic Membership
178.343.8.9,01-01-2023 2.15,3.792,1.896,1.896,1.763,2.029,1,Basic Membership
165.309.2.13,01-01-2023 2.20,3.063,0.643,2.42,1.213,1.85,2,Basic Membership
165.203.2.11,01-01-2023 2.25,3.682,1.657,2.025,1.521,2.161,4,Premium Membership
190.230.19.0,01-01-2023 2.30,4.734,3.408,1.326,2.206,2.528,0,Basic Membership
178.232.0.17,01-01-2023 2.35,4.9,1.078,3.822,2.187,2.713,4,Basic Membership
157.300.6.6,01-01-2023 2.40,4.862,1.702,3.16,1.916,2.946,2,Basic Membership
160.287.15.2,01-01-2023 2.45,3.282,0.919,2.363,0.926,2.356,2,Basic Membership
172.292.18.9,01-01-2023 2.50,3.273,1.473,1.8,1.602,1.671,4,Basic Membership
